cityName,bedrooms,month,Final_Price_Index,Final_Quantity_Index
NCR,1-BHK,2020-10-01,113.45,88.84182238
NCR,1-BHK,2020-11-01,113.35,99.67457274
NCR,1-BHK,2020-12-01,113.01,92.42582639
Pune,1-BHK,2017-01-01,100.0,100.0
Pune,1-BHK,2017-02-01,99.9,98.0684953
Pune,1-BHK,2017-03-01,99.38,96.79669017
Pune,1-BHK,2017-04-01,100.1,99.23644956
Pune,1-BHK,2017-05-01,100.24,82.08281085
Pune,1-BHK,2017-06-01,100.16,91.05500993
Pune,1-BHK,2017-07-01,101.1,96.07917673
Pune,1-BHK,2017-08-01,101.0,88.26708293
Pune,1-BHK,2017-09-01,101.09,93.2228184
Pune,1-BHK,2017-10-01,101.41,86.12898873
Pune,1-BHK,2017-11-01,102.29,88.91974063
Pune,1-BHK,2017-12-01,102.54,102.8540971
Pune,1-BHK,2018-01-01,103.03,196.3279391
Pune,1-BHK,2018-02-01,102.32,124.9573103
Pune,1-BHK,2018-03-01,102.43,129.0230537
Pune,1-BHK,2018-04-01,103.87,151.5410552
Pune,1-BHK,2018-05-01,102.82,114.6285677
Pune,1-BHK,2018-06-01,103.41,106.9615911
Pune,1-BHK,2018-07-01,103.73,116.1932566
Pune,1-BHK,2018-08-01,102.86,125.7550065
Pune,1-BHK,2018-09-01,104.46,133.1921645
Pune,1-BHK,2018-10-01,105.07,149.5413651
Pune,1-BHK,2018-11-01,105.27,130.4664951
Pune,1-BHK,2018-12-01,106.3,128.2343454
Pune,1-BHK,2019-01-01,105.74,134.5974796
Pune,1-BHK,2019-02-01,106.17,118.5778531
Pune,1-BHK,2019-03-01,106.03,118.6482913
Pune,1-BHK,2019-04-01,107.94,147.5056545
Pune,1-BHK,2019-05-01,108.02,117.3922174
Pune,1-BHK,2019-06-01,107.96,108.8309157
Pune,1-BHK,2019-07-01,107.83,122.572733
Pune,1-BHK,2019-08-01,108.1,109.0537209
Pune,1-BHK,2019-09-01,107.84,104.433909
Pune,1-BHK,2019-10-01,107.91,100.1412574
Pune,1-BHK,2019-11-01,107.86,92.4700613
Pune,1-BHK,2019-12-01,108.52,93.88264593
Pune,1-BHK,2020-01-01,108.26,150.757139
Pune,1-BHK,2020-02-01,108.25,120.0416675
Pune,1-BHK,2020-03-01,108.36,112.1455248
Pune,1-BHK,2020-04-01,108.7,17.74576004
Pune,1-BHK,2020-05-01,108.41,30.65586339
Pune,1-BHK,2020-06-01,108.83,33.35549299
Pune,1-BHK,2020-07-01,110.46,55.54290226
Pune,1-BHK,2020-08-01,110.1,52.27347357
Pune,1-BHK,2020-09-01,110.45,47.20362764
Pune,1-BHK,2020-10-01,108.92,78.05062041
Pune,1-BHK,2020-11-01,108.55,80.106499
Pune,1-BHK,2020-12-01,109.35,61.90971048
Ahmedabad,2-BHK,2017-01-01,100.0,100.0
Ahmedabad,2-BHK,2017-02-01,99.73,119.7978301
Ahmedabad,2-BHK,2017-03-01,100.0,115.9863832
Ahmedabad,2-BHK,2017-04-01,98.31,141.3059904
Ahmedabad,2-BHK,2017-05-01,98.21,134.2795605
Ahmedabad,2-BHK,2017-06-01,98.15,141.7533921
Ahmedabad,2-BHK,2017-07-01,98.48,122.019729
Ahmedabad,2-BHK,2017-08-01,98.74,99.97206312
Ahmedabad,2-BHK,2017-09-01,98.11,116.8799885
Ahmedabad,2-BHK,2017-10-01,98.55,93.94282022
Ahmedabad,2-BHK,2017-11-01,98.72,99.42140803
Ahmedabad,2-BHK,2017-12-01,100.47,89.93488031
Ahmedabad,2-BHK,2018-01-01,99.9,176.8015308
Ahmedabad,2-BHK,2018-02-01,99.69,124.3955209
Ahmedabad,2-BHK,2018-03-01,99.56,138.926961
